"","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","removalDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime","station"
"54","55","3rd & H St NW","31604","1425650372396","38.899408","-77.015289","true","false","0","","false","true","3","10","1425650372396","3rd & H St NW (31604)"
"55","56","3rd & D St SE","31605","1425663889532","38.8851","-77.0023","true","false","0","","false","true","3","8","1425663889532","3rd & D St SE (31605)"
"56","57","Potomac & Pennsylvania Ave SE","31606","1425656700581","38.8803","-76.9862","true","false","0","","false","true","5","10","1425656700581","Potomac & Pennsylvania Ave SE (31606)"
"57","58","14th & D St SE","31607","1425656950046","38.884","-76.9861","true","false","0","","false","true","3","12","1425656950046","14th & D St SE (31607)"
"58","59","17th & Corcoran St NW","31214","1425663198196","38.9121","-77.0387","true","false","0","","false","true","6","12","1425663198196","17th & Corcoran St NW (31214)"
"59","60","Van Ness Metro / UDC","31300","1425636080164","38.944551","-77.063896","true","false","0","","false","true","2","12","1425636080164","Van Ness Metro / UDC (31300)"
"60","61","Florida Ave & R St NW","31503","1425662159769","38.9126","-77.0135","true","false","0","","false","true","2","13","1425662159769","Florida Ave & R St NW (31503)"
"61","62","8th & Eye St SE / Barracks Row","31608","1425636079506","38.8792","-76.9953","true","false","0","","false","true","6","5","1425636079506","8th & Eye St SE / Barracks Row (31608)"
"62","63","Ward Circle / American University","31301","1425636043454","38.938736","-77.087171","true","false","0","","false","true","8","7","1425636043454","Ward Circle / American University (31301)"
"63","64","Idaho Ave & Newark St NW [on 2nd District patio]","31302","1425654612579","38.934751","-77.074647","true","false","0","","false","true","4","9","1425654612579","Idaho Ave & Newark St NW [on 2nd District patio] (31302)"
"64","65","14th St Heights / 14th & Crittenden St NW","31402","1425651704487","38.947774","-77.032818","true","false","0","","false","true","1","10","1425651704487","14th St Heights / 14th & Crittenden St NW (31402)"
"65","66","Anacostia Library","31804","1425636241214","38.865784","-76.9784","true","false","0","","false","true","7","4","1425636241214","Anacostia Library (31804)"
"66","67","Pennsylvania & Minnesota Ave SE","31805","1425636188477","38.873057","-76.971015","true","false","0","","false","true","8","3","1425636188477","Pennsylvania & Minnesota Ave SE (31805)"
"67","68","Eastern Market / 7th & North Carolina Ave SE","31610","1425660212865","38.886952","-76.996806","true","false","0","","false","true","12","3","1425660212865","Eastern Market / 7th & North Carolina Ave SE (31610)"
"68","69","14th St & New York Ave NW","31216","1425662979976","38.899632","-77.031686","true","false","0","","false","true","11","10","1425662979976","14th St & New York Ave NW (31216)"
"69","70","Benning Branch Library","31705","1425663051169","38.894","-76.947974","true","false","0","","false","true","5","6","1425663051169","Benning Branch Library (31705)"
"70","71","USDA / 12th & Independence Ave SW","31217","1425663705138","38.887237","-77.028226","true","false","0","","false","true","6","33","1425663705138","USDA / 12th & Independence Ave SW (31217)"
"71","72","Georgetown Harbor / 30th St NW","31215","1425663439512","38.9022212","-77.059219","true","false","0","","false","true","13","6","1425663439512","Georgetown Harbor / 30th St NW (31215)"
"72","73","12th & Newton St NE","31501","1425660448033","38.933668","-76.991016","true","false","0","","false","true","8","3","1425660448033","12th & Newton St NE (31501)"
"73","74","US Dept of State / Virginia Ave & 21st St NW","31220","1425663445357","38.894919","-77.046587","true","false","0","","false","true","14","1","1425663445357","US Dept of State / Virginia Ave & 21st St NW (31220)"
"74","75","L'Enfant Plaza / 7th & C St SW","31218","1425657702233","38.886266","-77.022241","true","false","0","","false","true","8","5","1425657702233","L'Enfant Plaza / 7th & C St SW (31218)"
"75","76","10th St & Constitution Ave NW","31219","1425651581151","38.893028","-77.026013","true","false","0","","false","true","9","22","1425651581151","10th St & Constitution Ave NW (31219)"
"76","77","Kennedy Center","31211","1425636069537","38.895184","-77.054845","true","false","0","","false","true","5","6","1425636069537","Kennedy Center (31211)"
"77","78","Eastern Market Metro / Pennsylvania Ave & 7th St SE","31613","1425657922932","38.884","-76.995397","true","false","0","","false","true","3","15","1425657922932","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)"
"78","79","18th & M St NW","31221","1425663024242","38.904742","-77.041606","true","false","0","","false","true","15","3","1425663024242","18th & M St NW (31221)"
"79","80","Tenleytown / Wisconsin Ave & Albemarle St NW","31303","1425663007771","38.947607","-77.079382","true","false","0","","false","true","6","9","1425663007771","Tenleytown / Wisconsin Ave & Albemarle St NW (31303)"
"80","81","13th & H St NE","31611","1425661845327","38.9003","-76.9882","true","false","0","","false","true","10","17","1425661845327","13th & H St NE (31611)"
"81","82","5th & F St NW","31620","1425658980659","38.897222","-77.019347","true","false","0","","false","true","16","14","1425658980659","5th & F St NW (31620)"
"82","83","New York Ave & 15th St NW","31222","1425655624665","38.8991","-77.0337","true","false","0","","false","true","12","7","1425655624665","New York Ave & 15th St NW (31222)"
"83","84","Convention Center / 7th & M St NW","31223","1425663765742","38.90572","-77.022264","true","false","0","","false","true","1","18","1425663765742","Convention Center / 7th & M St NW (31223)"
"84","85","Harvard St & Adams Mill Rd NW","31112","1425639755839","38.927872","-77.043358","true","false","0","","false","true","11","4","1425639755839","Harvard St & Adams Mill Rd NW (31112)"
"85","86","19th & L St NW","31224","1425662665980","38.903407","-77.043648","true","false","0","","false","true","12","3","1425662665980","19th & L St NW (31224)"
"86","87","C & O Canal & Wisconsin Ave NW","31225","1425663784464","38.90375","-77.06269","true","false","0","","false","true","14","9","1425663784464","C & O Canal & Wisconsin Ave NW (31225)"
"87","88","6th & Water St SW / SW Waterfront","31609","1425636166967","38.87675","-77.02127","true","false","0","","false","true","12","7","1425636166967","6th & Water St SW / SW Waterfront (31609)"
"88","89","D St & Maryland Ave NE","31612","1425658853302","38.894758","-76.997114","true","false","0","","false","true","2","21","1425658853302","D St & Maryland Ave NE (31612)"
"89","90","34th St & Wisconsin Ave NW","31226","1425636050038","38.916442","-77.0682","true","false","0","","false","true","9","2","1425636050038","34th St & Wisconsin Ave NW (31226)"
"90","91","13th St & New York Ave NW","31227","1425663357710","38.900283","-77.029822","true","false","0","","false","true","11","11","1425663357710","13th St & New York Ave NW (31227)"
"91","92","8th & H St NW","31228","1425664011071","38.8997","-77.023086","true","false","0","","false","true","22","10","1425664011071","8th & H St NW (31228)"
"92","93","10th & Monroe St NE","31504","1425659616526","38.932514","-76.992889","true","false","0","","false","true","6","5","1425659616526","10th & Monroe St NE (31504)"
"93","94","Eckington Pl & Q St NE","31505","1425654014090","38.910972","-77.00495","true","false","0","","false","true","3","8","1425654014090","Eckington Pl & Q St NE (31505)"
"94","95","6th & H St NE","31615","1425660750555","38.899972","-76.998347","true","false","0","","false","true","22","0","1425660750555","6th & H St NE (31615)"
"95","96","3rd & H St NE","31616","1425659189806","38.900412","-77.001949","true","false","0","","false","true","4","15","1425659189806","3rd & H St NE (31616)"
"96","97","Bladensburg Rd & Benning Rd NE","31617","1425655561125","38.900413","-76.982872","true","false","0","","false","true","5","10","1425655561125","Bladensburg Rd & Benning Rd NE (31617)"
"97","98","4th & East Capitol St NE","31618","1425662998793","38.889955","-77.000349","true","false","0","","false","true","2","9","1425662998793","4th & East Capitol St NE (31618)"
"98","99","Lincoln Park / 13th & East Capitol St NE ","31619","1425657856200","38.890461","-76.988355","true","false","0","","false","true","5","20","1425657856200","Lincoln Park / 13th & East Capitol St NE  (31619)"
"99","100","Branch & Pennsylvania Ave SE","31701","1425662765162","38.8692","-76.9599","true","false","0","","false","true","8","3","1425662765162","Branch & Pennsylvania Ave SE (31701)"
"100","101","13th & D St NE","31622","1425663532755","38.894832","-76.987633","true","false","0","","false","true","7","24","1425663532755","13th & D St NE (31622)"
"101","102","New Hampshire Ave & T St NW","31229","1425661435349","38.91554","-77.03818","true","false","0","","false","true","1","20","1425661435349","New Hampshire Ave & T St NW (31229)"
"102","103","Metro Center / 12th & G St NW","31230","1425661533708","38.898364","-77.027869","true","false","0","","false","true","11","20","1425661533708","Metro Center / 12th & G St NW (31230)"
"103","104","14th & D St NW / Ronald Reagan Building","31231","1425658167452","38.894514","-77.031617","true","false","0","","false","true","14","9","1425658167452","14th & D St NW / Ronald Reagan Building (31231)"
"104","105","7th & F St NW / National Portrait Gallery","31232","1425662130093","38.897324","-77.022322","true","false","0","","false","true","6","20","1425662130093","7th & F St NW / National Portrait Gallery (31232)"
"105","106","17th & K St NW / Farragut Square","31233","1425663114082","38.902061","-77.038322","true","false","0","","false","true","19","11","1425663114082","17th & K St NW / Farragut Square (31233)"
"106","107","20th & O St NW / Dupont South","31234","1425663952265","38.908905","-77.04478","true","false","0","","false","true","12","6","1425663952265","20th & O St NW / Dupont South (31234)"
"107","108","4th & D St NW / Judiciary Square","31621","1425661793636","38.895344","-77.016106","true","false","0","","false","true","9","6","1425661793636","4th & D St NW / Judiciary Square (31621)"
"108","109","19th St & Constitution Ave NW","31235","1425662797878","38.8923","-77.0436","true","false","0","","false","true","21","12","1425662797878","19th St & Constitution Ave NW (31235)"
"109","110","37th & O St NW / Georgetown University","31236","1425654213508","38.90774","-77.071652","true","false","0","","false","true","3","20","1425654213508","37th & O St NW / Georgetown University (31236)"
"110","111","11th & H St NE","31614","1425655177989","38.899983","-76.991383","true","false","0","","false","true","12","7","1425655177989","11th & H St NE (31614)"
"111","112","25th St & Pennsylvania Ave NW","31237","1425658543742","38.903827","-77.053485","true","false","0","","false","true","7","7","1425658543742","25th St & Pennsylvania Ave NW (31237)"
"112","113","Columbus Circle / Union Station","31623","1425663380408","38.89696","-77.00493","true","false","0","","false","true","15","23","1425663380408","Columbus Circle / Union Station (31623)"
